Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,FDX32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,10%,15.1,145.4786,5
Low Fat,NCB42,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,1%,11.8,115.3492,5
Regular,FDR28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,3%,13.85,165.021,5
Regular,FDL50,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,4%,12.15,126.5046,5
Low Fat,DRI25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,19.6,55.1614,5
low fat,FDS52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,1%,8.89,102.4016,5
Low Fat,NCU05,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,10%,11.8,81.4618,5
Low Fat,NCD30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,19.7,96.0726,5
Low Fat,FDW20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,2%,20.75,124.173,5
Low Fat,FDX25,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,10%,,181.9292,5
LF,FDX21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,8%,,109.8912,5
Low Fat,NCU41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,5%,18.85,192.1846,5
Low Fat,FDL20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,13%,17.1,112.3886,5
Low Fat,NCR54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,9%,16.35,195.211,5
Low Fat,FDH19,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,3%,,173.1738,5
Regular,FDB57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,2%,20.25,222.1772,5
Low Fat,FDO23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,15%,17.85,93.7436,5
Low Fat,NCB07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,8%,19.2,197.611,5
Low Fat,FDJ56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,18%,,98.77,5
Low Fat,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,2%,12.1,178.566,5
Regular,FDZ07,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0%,,60.2194,5
Low Fat,NCK31,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,3%,,50.9666,5
Low Fat,FDJ41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,2%,6.85,261.6594,5
Low Fat,DRI51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,4%,17.25,173.1764,5
Regular,FDC40,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,7%,16,76.1986,5
Low Fat,FDB53,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,14%,13.35,150.2392,5
Low Fat,FDA16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,3%,6.695,221.9456,5
Regular,FDO19,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,2%,,47.4034,5
Low Fat,FDO04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,3%,16.6,57.2614,5
Regular,FDL25,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,13%,6.92,93.1804,5
Low Fat,NCJ30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,8%,5.82,167.779,5
Low Fat,NCQ41,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,2%,14.8,196.3794,5
Low Fat,DRJ35,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,5%,10.1,59.9878,5
Low Fat,NCE31,Household,2014,OUT013,Tier 3,High,Supermarket Type1,18%,7.67,35.4216,5
Low Fat,FDY09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,3%,15.6,174.3054,5
low fat,FDZ04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,4%,9.31,61.651,5
Low Fat,FDY07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,12%,11.8,46.8402,5
Regular,FDO45,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,4%,13.15,88.6856,5
Low Fat,FDB09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,6%,16.25,126.2046,5
Regular,FDP51,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,9%,13.85,119.6124,5
Regular,FDT50,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,11%,6.75,95.6752,5
Regular,FDQ08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,2%,,62.9536,5
Low Fat,DRL11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,5%,10.5,159.0946,5
Low Fat,FDT34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,17%,9.3,104.2964,5
Regular,FDP01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,11%,20.75,150.5682,5
Low Fat,NCJ31,Others,2014,OUT013,Tier 3,High,Supermarket Type1,18%,19.2,239.2196,5
Low Fat,NCL30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,5%,18.1,127.3336,5
LF,FDF04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,1%,17.5,256.3304,5
LF,NCZ42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,1%,10.5,235.5248,5
Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,1%,7.975,82.425,5
